y_vals,x_vals
66011.9087846125,-104637.61591770059
65757.96885814604,-104917.82549173257
65433.97653817156,-105127.98267225655
65136.2538657626,-105294.35710683803
64829.77464416512,-105381.92259872303
64663.40020958363,-105381.92259872303
64190.54655340468,-105311.87020521503
63910.33697937271,-105259.33091008403
63726.44944641422,-105101.71302469104
63787.745290733714,-104856.52964741307
63954.119725315206,-104663.88556526609
64225.57275015868,-104515.0242290616
64645.88711120664,-104418.70218798812
65320.141398721076,-104427.45873717662
66011.9087846125,-104444.97183555362
66011.9087846125,-104628.85936851209
